track_id,target_latitude,target_longitude,obj_class
1025,31.18210556079468,121.46967561422082,person
1026,31.18191004009049,121.46934959780724,person
1029,31.18194749510664,121.4695882965718,person
1030,31.18187608821645,121.46950392293353,person
1040,31.182009791595664,121.46965423223308,person
1044,31.18212848673653,121.46972494561427,person
1048,31.18212711406364,121.46973387480296,person
1051,31.18212941652942,121.46976416664454,person
1053,31.18212250944821,121.4698219046771,boat
1054,31.18206158435155,121.46971256018467,person
1057,31.1821191342176,121.46983611999153,boat
1059,31.181926666271533,121.46969096416174,person
1060,31.182004414676005,121.46974567624262,person
1061,31.182002721058232,121.46975325606152,person
1062,31.18194158832476,121.4696785174998,person
1065,31.181927813827272,121.4696913539466,person
1066,31.182128856819038,121.46987477252884,boat
1070,31.182008675485367,121.46976847397764,person
1075,31.181968675631715,121.469753192162,person
1077,31.182183766093388,121.46990148338872,boat
1084,31.1815460524438,121.47033167788727,boat
1090,31.18149517491239,121.47049658769144,person
1102,31.18100624715783,121.47126851857767,boat
1105,31.18144202544782,121.47092608919247,boat
1106,31.18138241246924,121.4709019869694,person
1109,31.181422478577662,121.47095342918524,person
1111,31.18144510405606,121.47092658816736,boat
